Rcvr ID,Line Count Expected,Pct lost,Total Lost,Largest Block Lost,Last Block Lost,Block Start Time,Block End Time,Reset Count,Total Line Count,Total Message Count
BfhKbvk><dw`g;t?JS>CEp<RWOhSAGsVppibuP9o1r,0,0.00,0,0,0,0,0,0,1,1
b6I5LCo6Ov22H0v,0,0.00,0,0,0,0,0,0,1,1
RtaJwv42<1q,0,0.00,0,0,0,0,0,0,1,1
rGJMKBkgv20H0c,0,0.00,0,0,0,0,0,0,1,1
B5NB@oP076gB4J5r1KJiKwP7kP06,0,0.00,0,0,0,0,0,0,1,1
B1v63l<0rekG0GeAp?0280I,0,0.00,0,0,0,0,0,0,1,1
B4eGCtP0@NkRv`65H:p4owuUoP06,0,0.00,0,0,0,0,0,0,1,1
B5N`JT00CFiVI4UnhVrWgwu5oP06,0,0.00,0,0,0,0,0,0,1,1
rpKuPGSl`aAnjL288C,0,0.00,0,0,0,0,0,0,1,1
rlggvP2@9R,0,0.00,0,0,0,0,0,0,1,1
rekGpGeAqO02L6:,0,0.00,0,0,0,0,0,0,1,1
reJr>GD1VD4?wV00Wi,0,0.00,0,0,0,0,0,0,1,1
reJHRGCBPo6EQN08L9,0,0.00,0,0,0,0,0,0,1,1
re7G0G@U9;?wwR2000,0,0.00,0,0,0,0,0,0,1,1
rdU4JG@I?sw9Vf2D3:,0,0.00,0,0,0,0,0,0,1,1
rR00qP,0,0.00,0,0,0,0,0,0,1,1
rN6Pm0gR2HLQ,0,0.00,0,0,0,0,0,0,1,1
rLrg020S:,0,0.00,0,0,0,0,0,0,1,1
bhGIG4JaOw`2L0c,0,0.00,0,0,0,0,0,0,1,1
ba000frsNQvH?vcBC1mP2@Kq,0,0.00,0,0,0,0,0,0,1,1
bSpGfMT<sbHf0L0e,0,0.00,0,0,0,0,0,0,1,1
b2003669983,71574,99.38,71130,37267,1,1502136722,1502136722,0,444,441
b003669984,69948,99.41,69536,36492,2,1502136721,1502136721,0,412,408
b003669982,66497,99.39,66090,33400,1,1502136722,1502136722,0,407,403
RR0gwpUoP06,0,0.00,0,0,0,0,0,0,1,1
RLBS1,0,0.00,0,0,0,0,0,0,1,1
RIBS1,0,0.00,0,0,0,0,0,0,1,1
R20S4,0,0.00,0,0,0,0,0,0,1,1
R0PP00JgqblGIG5;??wF272k,0,0.00,0,0,0,0,0,0,1,1
R0P0kJe>d2GBWNrTww`20SP,0,0.00,0,0,0,0,0,0,1,1
R0@:2,0,0.00,0,0,0,0,0,0,1,1
